# t (s)	mx ()	my ()	mz ()	ext_exactdwposavg (m)	ext_exactdwvelavg (m/s)
0	2.5150925e-11	2.7691079e-12	-0.390625	1.28e-07	0
1e-11	-5.975375e-06	0.00015908547	-0.39013195	1.280631e-07	6.311035
2e-11	-5.710835e-05	0.0008277892	-0.38950688	1.2814311e-07	8.000565
3e-11	-0.00022139343	0.0017694867	-0.38903767	1.2820318e-07	6.006241
4e-11	-0.00040081562	0.0020638818	-0.3886567	1.2825194e-07	4.8763275
4.9999999999999995e-11	-0.0005893295	0.0020332043	-0.38835225	1.282909e-07	3.8967133
6e-11	-0.00090782717	0.0021581103	-0.38814443	1.2831751e-07	2.6603699
7e-11	-0.001254308	0.0021572928	-0.38804933	1.2832969e-07	1.2168884
8.000000000000001e-11	-0.0015169439	0.0019148703	-0.38807797	1.2832602e-07	-0.3665924
9.000000000000001e-11	-0.0017036544	0.0015100194	-0.38822296	1.2830746e-07	-1.8550873
1.0000000000000002e-10	-0.0018008283	0.0009089971	-0.3884587	1.2827729e-07	-3.0174255
1.1000000000000002e-10	-0.0017845605	0.000108792425	-0.3887682	1.2823767e-07	-3.961563
1.2000000000000003e-10	-0.0016427104	-0.0008548443	-0.38915685	1.2818792e-07	-4.9755096
1.3000000000000002e-10	-0.0013549451	-0.0019383926	-0.38963345	1.2812691e-07	-6.1000824
1.4e-10	-0.00090311765	-0.0030993721	-0.3902008	1.280543e-07	-7.262039
1.5e-10	-0.0002814445	-0.00433147	-0.39085925	1.2797001e-07	-8.428574
1.6e-10	0.0005068792	-0.0056362185	-0.3916064	1.2787439e-07	-9.563065
1.6999999999999998e-10	0.0014550613	-0.0070004803	-0.39243445	1.2776839e-07	-10.598755
1.7999999999999997e-10	0.0025598241	-0.008406786	-0.39332715	1.2765412e-07	-11.426926
1.8999999999999996e-10	0.0038303542	-0.009832966	-0.3942577	1.2753502e-07	-11.911392
1.9999999999999996e-10	0.005291311	-0.011243149	-0.39518857	1.2741586e-07	-11.915207
2.0999999999999995e-10	0.006972586	-0.012584099	-0.39607227	1.2730276e-07	-11.310959
2.1999999999999994e-10	0.008889107	-0.013785706	-0.39685196	1.2720295e-07	-9.980011
2.2999999999999993e-10	0.011024718	-0.014768622	-0.39746612	1.2712434e-07	-7.8617096
2.3999999999999995e-10	0.013330695	-0.015460634	-0.39785546	1.270745e-07	-4.9827576
2.4999999999999996e-10	0.015736867	-0.015814539	-0.3979708	1.2705974e-07	-1.4766693
2.6e-10	0.018168038	-0.015818551	-0.39777923	1.2708426e-07	2.4520874
2.7e-10	0.020559538	-0.015493998	-0.3972672	1.2714979e-07	6.55365
2.8e-10	0.022866337	-0.014881481	-0.39644092	1.2725556e-07	10.57663
2.9000000000000003e-10	0.02506259	-0.014024098	-0.39532453	1.2739847e-07	14.289856
3.0000000000000005e-10	0.027134664	-0.012957437	-0.39395654	1.2757356e-07	17.510223
3.1000000000000007e-10	0.029074173	-0.011708904	-0.39238495	1.2777473e-07	20.116425
3.200000000000001e-10	0.030874899	-0.010301492	-0.3906626	1.279952e-07	22.046661
3.300000000000001e-10	0.032532398	-0.008756358	-0.38884333	1.2822805e-07	23.285675
3.400000000000001e-10	0.034043938	-0.0070927003	-0.38697925	1.2846665e-07	23.86055
3.5000000000000014e-10	0.03540775	-0.0053265905	-0.38511905	1.2870476e-07	23.810577
3.6000000000000015e-10	0.036622085	-0.0034704856	-0.38330668	1.2893675e-07	23.198318
3.7000000000000017e-10	0.03768458	-0.0015337783	-0.3815815	1.2915757e-07	22.08252
3.800000000000002e-10	0.038591795	0.00047610616	-0.37997735	1.293629e-07	20.53299
3.900000000000002e-10	0.039338853	0.0025525033	-0.37852228	1.2954915e-07	18.624878
4.000000000000002e-10	0.03991921	0.0046884734	-0.37723795	1.2971354e-07	16.439056
4.1000000000000024e-10	0.040324863	0.00687604	-0.37613928	1.2985417e-07	14.063263
4.2000000000000026e-10	0.04054702	0.009105776	-0.375234	1.2997005e-07	11.587143
4.3000000000000027e-10	0.04057709	0.011366723	-0.37452254	1.3006111e-07	9.107208
4.400000000000003e-10	0.0404079	0.0136464825	-0.37399828	1.3012821e-07	6.710434
4.500000000000003e-10	0.040034875	0.015931433	-0.37364817	1.3017304e-07	4.4815063
4.600000000000003e-10	0.03945722	0.018206974	-0.3734535	1.3019795e-07	2.4917603
4.700000000000003e-10	0.038678885	0.0204578	-0.3733913	1.302059e-07	0.79574585
4.800000000000003e-10	0.0377093	0.022668209	-0.37343544	1.3020026e-07	-0.5645752
4.900000000000003e-10	0.03656371	0.024822537	-0.3735579	1.3018459e-07	-1.5678406
5.000000000000002e-10	0.035263132	0.026905749	-0.37372983	1.3016258e-07	-2.2006989
5.100000000000002e-10	0.033833835	0.028904444	-0.37392303	1.3013785e-07	-2.4730682
5.200000000000002e-10	0.032306284	0.030808065	-0.37411073	1.3011383e-07	-2.4021149
5.300000000000001e-10	0.030713629	0.032610398	-0.3742689	1.3009358e-07	-2.0240784
5.400000000000001e-10	0.02908968	0.034310713	-0.37437695	1.3007974e-07	-1.3839722
5.500000000000001e-10	0.027466662	0.035914414	-0.374419	1.3007437e-07	-0.5378723
5.6e-10	0.02587316	0.03743283	-0.37438363	1.300789e-07	0.45318604
5.7e-10	0.024332551	0.038882367	-0.37426433	1.3009416e-07	1.5270233
5.8e-10	0.022862095	0.04028327	-0.37405944	1.301204e-07	2.622223
5.899999999999999e-10	0.021472694	0.04165831	-0.37377185	1.301572e-07	3.6811829
5.999999999999999e-10	0.020169035	0.043031663	-0.3734085	1.3020372e-07	4.6512604
6.099999999999999e-10	0.018949946	0.044428132	-0.37298018	1.3025854e-07	5.4821014
6.199999999999998e-10	0.017808685	0.04587253	-0.3725008	1.3031989e-07	6.1359406
6.299999999999998e-10	0.016732953	0.04738926	-0.3719871	1.3038566e-07	6.575775
6.399999999999998e-10	0.015704554	0.049001828	-0.3714576	1.3045343e-07	6.7775726
6.499999999999997e-10	0.014698556	0.050731953	-0.37093195	1.3052072e-07	6.7287445
6.599999999999997e-10	0.013682061	0.052598063	-0.37042916	1.3058506e-07	6.435013
6.699999999999997e-10	0.012612741	0.05461248	-0.36996567	1.306444e-07	5.932617
6.799999999999996e-10	0.01143788	0.05677685	-0.36955184	1.3069736e-07	5.2963257
6.899999999999996e-10	0.010095234	0.05907549	-0.3691879	1.3074396e-07	4.6592712
6.999999999999995e-10	0.008517746	0.061467323	-0.36885875	1.3078608e-07	4.2129517
7.099999999999995e-10	0.0066442373	0.06387889	-0.36853036	1.3082811e-07	4.2030334
7.199999999999995e-10	0.004436241	0.066203386	-0.3681493	1.308769e-07	4.878235
7.299999999999994e-10	0.001896741	0.068311214	-0.36764765	1.309411e-07	6.4208984
7.399999999999994e-10	-0.0009182078	0.07007374	-0.36695397	1.3102989e-07	8.879089
7.499999999999994e-10	-0.0039044777	0.07139413	-0.3660054	1.3115131e-07	12.141418
7.599999999999993e-10	-0.0069335666	0.07223166	-0.36475727	1.3131107e-07	15.976334
7.699999999999993e-10	-0.009885319	0.072606914	-0.3631866	1.3151211e-07	20.104599
7.799999999999993e-10	-0.012673581	0.07258646	-0.3612905	1.3175482e-07	24.269867
7.899999999999992e-10	-0.01525434	0.07225752	-0.3590815	1.3203757e-07	28.2753
7.999999999999992e-10	-0.017618151	0.071706295	-0.35658145	1.3235757e-07	32.000732
8.099999999999992e-10	-0.019776687	0.07100636	-0.35381705	1.3271142e-07	35.38437
8.199999999999991e-10	-0.021751337	0.07021528	-0.35081628	1.3309551e-07	38.409805
8.299999999999991e-10	-0.023566185	0.06937503	-0.34760615	1.3350642e-07	41.08963
8.399999999999991e-10	-0.025244098	0.06851381	-0.34421122	1.3394096e-07	43.455124
8.49999999999999e-10	-0.026804715	0.067648426	-0.34065387	1.343963e-07	45.534134
8.59999999999999e-10	-0.028263777	0.066786975	-0.33695367	1.3486992e-07	47.362137
8.69999999999999e-10	-0.029633475	0.06593159	-0.33312833	1.3535957e-07	48.96469
8.799999999999989e-10	-0.030923367	0.06508088	-0.3291933	1.3586326e-07	50.3685
8.899999999999989e-10	-0.03214139	0.064232	-0.3251623	1.3637923e-07	51.596832
8.999999999999989e-10	-0.033294648	0.06338227	-0.3210478	1.3690588e-07	52.66533
9.099999999999988e-10	-0.034389824	0.06253004	-0.31686103	1.3744179e-07	53.590775
9.199999999999988e-10	-0.03543326	0.0616751	-0.3126118	1.379857e-07	54.390335
9.299999999999988e-10	-0.036430806	0.0608187	-0.30830893	1.3853645e-07	55.076218
9.399999999999988e-10	-0.037387628	0.05996337	-0.30396038	1.3909307e-07	55.661774
9.499999999999988e-10	-0.03830804	0.059112813	-0.29957318	1.3965463e-07	56.15616
9.599999999999988e-10	-0.039195627	0.058271468	-0.2951534	1.4022037e-07	56.572723
9.699999999999987e-10	-0.040053386	0.05744407	-0.29070663	1.4078955e-07	56.919098
9.799999999999987e-10	-0.040883984	0.056635052	-0.28623742	1.4136161e-07	57.205963
9.899999999999986e-10	-0.041689865	0.05584794	-0.28174984	1.4193601e-07	57.44095
9.999999999999986e-10	-0.04247332	0.05508497	-0.27724743	1.4251233e-07	57.63092
1.0099999999999986e-09	-0.04323642	0.054346856	-0.2727332	1.4309015e-07	57.781982
1.0199999999999985e-09	-0.043980896	0.053632863	-0.26820973	1.4366915e-07	57.90062
1.0299999999999985e-09	-0.04470807	0.052940972	-0.26367953	1.4424901e-07	57.98645
1.0399999999999985e-09	-0.045418732	0.052268177	-0.2591449	1.4482946e-07	58.04329
1.0499999999999984e-09	-0.046113193	0.051610768	-0.25460812	1.4541017e-07	58.071136
1.0599999999999984e-09	-0.04679131	0.050964743	-0.25007153	1.4599084e-07	58.068085
1.0699999999999984e-09	-0.047452535	0.05032596	-0.245538	1.4657114e-07	58.029175
1.0799999999999983e-09	-0.04809606	0.04969038	-0.24101043	1.4715067e-07	57.95288
1.0899999999999983e-09	-0.048720893	0.049054142	-0.23649226	1.47729e-07	57.832527
1.0999999999999983e-09	-0.0493259	0.04841362	-0.23198713	1.4830565e-07	57.665443
1.1099999999999982e-09	-0.049909916	0.047765438	-0.22749946	1.4888008e-07	57.442474
1.1199999999999982e-09	-0.05047172	0.047106408	-0.22303368	1.494517e-07	57.161903
1.1299999999999982e-09	-0.051010065	0.046433482	-0.21859513	1.5001983e-07	56.81343
1.1399999999999981e-09	-0.051523633	0.045743737	-0.21418929	1.5058377e-07	56.394768
1.149999999999998e-09	-0.052011106	0.045034282	-0.20982231	1.5114274e-07	55.89733
1.159999999999998e-09	-0.05247098	0.04430222	-0.20550075	1.516959e-07	55.31597
1.169999999999998e-09	-0.052901622	0.043544695	-0.20123161	1.5224235e-07	54.644966
1.179999999999998e-09	-0.05330118	0.042758826	-0.19702233	1.5278114e-07	53.878784
1.189999999999998e-09	-0.053667523	0.041941788	-0.19288082	1.5331126e-07	53.011513
1.199999999999998e-09	-0.05399812	0.0410908	-0.1888153	1.5383164e-07	52.038574
1.2099999999999979e-09	-0.054290023	0.04020323	-0.18483426	1.5434121e-07	50.9573
1.2199999999999979e-09	-0.05453974	0.0392766	-0.18094653	1.5483884e-07	49.762917
1.2299999999999978e-09	-0.05474323	0.038308766	-0.17716084	1.553234e-07	48.456764
1.2399999999999978e-09	-0.054895822	0.03729792	-0.17348596	1.557938e-07	47.03846
1.2499999999999978e-09	-0.054992266	0.036242787	-0.16993028	1.5624893e-07	45.51277
1.2599999999999977e-09	-0.055026762	0.03514275	-0.16650169	1.5668779e-07	43.885994
1.2699999999999977e-09	-0.05499302	0.03399796	-0.16320719	1.5710948e-07	42.16957
1.2799999999999976e-09	-0.054884523	0.03280951	-0.16005272	1.5751326e-07	40.377045
1.2899999999999976e-09	-0.05469473	0.03157953	-0.15704268	1.5789854e-07	38.528633
1.2999999999999976e-09	-0.05441742	0.03031125	-0.1541798	1.5826498e-07	36.644936
1.3099999999999975e-09	-0.054047026	0.029009005	-0.1514648	1.5861251e-07	34.751892
1.3199999999999975e-09	-0.05357907	0.02767811	-0.14889644	1.5894126e-07	32.87506
1.3299999999999975e-09	-0.05301052	0.026324702	-0.14647135	1.5925167e-07	31.040955
1.3399999999999974e-09	-0.052340105	0.024955427	-0.14418423	1.5954441e-07	29.275322
1.3499999999999974e-09	-0.051568523	0.023577102	-0.1420281	1.598204e-07	27.598763
1.3599999999999974e-09	-0.050698522	0.022196326	-0.13999455	1.600807e-07	26.029205
1.3699999999999973e-09	-0.04973481	0.020819152	-0.13807423	1.603265e-07	24.580193
1.3799999999999973e-09	-0.048683852	0.019450752	-0.13625725	1.6055907e-07	23.257256
1.3899999999999973e-09	-0.04755354	0.018095229	-0.13453346	1.6077972e-07	22.06459
1.3999999999999972e-09	-0.04635279	0.016755497	-0.13289297	1.609897e-07	20.998192
1.4099999999999972e-09	-0.04509113	0.0154332705	-0.13132629	1.6119023e-07	20.053291
1.4199999999999972e-09	-0.043778263	0.014129122	-0.12982464	1.6138245e-07	19.221115
1.4299999999999971e-09	-0.042423703	0.012842586	-0.12838	1.6156736e-07	18.491554
1.439999999999997e-09	-0.041036453	0.01157229	-0.12698519	1.617459e-07	17.853546
1.449999999999997e-09	-0.039624747	0.010316089	-0.12563394	1.6191886e-07	17.296028
1.459999999999997e-09	-0.03819585	0.009071221	-0.12432085	1.6208693e-07	16.807747
1.469999999999997e-09	-0.036755946	0.007834438	-0.123041205	1.6225073e-07	16.379166
1.479999999999997e-09	-0.035310086	0.006602209	-0.121791035	1.6241074e-07	16.002083
1.489999999999997e-09	-0.033862203	0.0053709093	-0.12056686	1.6256745e-07	15.669632
1.4999999999999969e-09	-0.032415204	0.004137085	-0.11936564	1.627212e-07	15.37571
1.5099999999999969e-09	-0.030971082	0.0028977406	-0.118184485	1.6287238e-07	15.11879
1.5199999999999968e-09	-0.029531145	0.001650635	-0.11702067	1.6302135e-07	14.896774
1.5299999999999968e-09	-0.02809627	0.000394546	-0.11587133	1.6316847e-07	14.711475
1.5399999999999967e-09	-0.026667178	-0.00087051233	-0.114733465	1.6331411e-07	14.564705
1.5499999999999967e-09	-0.025244752	-0.0021431942	-0.113603726	1.6345872e-07	14.460564
1.5599999999999967e-09	-0.023830315	-0.003420828	-0.112478495	1.6360275e-07	14.402962
1.5699999999999966e-09	-0.022425905	-0.004699556	-0.11135378	1.6374672e-07	14.396572
1.5799999999999966e-09	-0.021034451	-0.0059745833	-0.11022526	1.6389117e-07	14.444923
1.5899999999999966e-09	-0.019659905	-0.007240488	-0.10908843	1.6403668e-07	14.551449
1.5999999999999965e-09	-0.01830727	-0.00849158	-0.10793861	1.6418386e-07	14.717579
1.6099999999999965e-09	-0.016982544	-0.00972223	-0.10677111	1.643333e-07	14.944077
1.6199999999999965e-09	-0.015692588	-0.010927178	-0.10558128	1.644856e-07	15.229988
1.6299999999999964e-09	-0.014444916	-0.012101766	-0.10436469	1.6464132e-07	15.572166
1.6399999999999964e-09	-0.013247453	-0.013242108	-0.10311715	1.6480101e-07	15.9685135
1.6499999999999964e-09	-0.012108253	-0.014345214	-0.10183483	1.6496514e-07	16.413689
1.6599999999999963e-09	-0.011035212	-0.015409045	-0.10051428	1.6513417e-07	16.90321
1.6699999999999963e-09	-0.01003579	-0.016432568	-0.099152446	1.6530849e-07	17.43145
1.6799999999999963e-09	-0.0091167465	-0.01741577	-0.09774676	1.6548842e-07	17.992687
1.6899999999999962e-09	-0.008283926	-0.018359687	-0.096295126	1.6567422e-07	18.580818
1.6999999999999962e-09	-0.007542078	-0.019266423	-0.0947959	1.6586613e-07	19.190311
1.7099999999999962e-09	-0.0068947314	-0.020139148	-0.093247965	1.6606425e-07	19.813347
1.7199999999999961e-09	-0.006344107	-0.020982109	-0.09165077	1.662687e-07	20.444298
1.729999999999996e-09	-0.005891065	-0.021800589	-0.090004265	1.6647945e-07	21.075344
1.739999999999996e-09	-0.005535097	-0.022600833	-0.08830908	1.6669644e-07	21.698189
1.749999999999996e-09	-0.0052743233	-0.02338996	-0.08656648	1.6691949e-07	22.305298
1.759999999999996e-09	-0.0051055364	-0.02417575	-0.08477846	1.6714836e-07	22.886658
1.769999999999996e-09	-0.005024258	-0.024966482	-0.08294776	1.673827e-07	23.433018
1.779999999999996e-09	-0.0050248425	-0.02577066	-0.081077926	1.6762202e-07	23.933792
1.7899999999999959e-09	-0.005100603	-0.026596785	-0.07917329	1.6786582e-07	24.379349
1.7999999999999959e-09	-0.005243981	-0.027453111	-0.07723898	1.6811342e-07	24.759197
1.8099999999999958e-09	-0.005446733	-0.028347455	-0.0752809	1.6836404e-07	25.063515
1.8199999999999958e-09	-0.005700133	-0.02928706	-0.07330567	1.6861688e-07	25.282955
1.8299999999999957e-09	-0.005995166	-0.030278504	-0.07132059	1.6887097e-07	25.40884
1.8399999999999957e-09	-0.0063227015	-0.031327695	-0.06933357	1.691253e-07	25.433922
1.8499999999999957e-09	-0.006673633	-0.032439906	-0.06735306	1.6937881e-07	25.350475
1.8599999999999956e-09	-0.007038965	-0.033619903	-0.065387994	1.6963034e-07	25.15297
1.869999999999996e-09	-0.007409844	-0.03487201	-0.063447714	1.6987869e-07	24.835491
1.879999999999996e-09	-0.0077775302	-0.036200337	-0.061542	1.7012262e-07	24.39313
1.889999999999996e-09	-0.008133283	-0.03760887	-0.05968095	1.7036083e-07	23.821402
1.8999999999999963e-09	-0.008468166	-0.039101675	-0.057875026	1.70592e-07	23.115921
1.9099999999999965e-09	-0.008772762	-0.040683005	-0.05613502	1.7081472e-07	22.272015
1.9199999999999967e-09	-0.009036742	-0.042357363	-0.054472014	1.7102758e-07	21.286488
1.929999999999997e-09	-0.009248314	-0.044129495	-0.052897293	1.7122915e-07	20.156431
1.939999999999997e-09	-0.009393497	-0.04600413	-0.05142215	1.7141797e-07	18.88175
1.949999999999997e-09	-0.009455226	-0.04798553	-0.050057527	1.7159263e-07	17.467213
1.9599999999999974e-09	-0.009412333	-0.050076466	-0.048813317	1.7175189e-07	15.925932
1.9699999999999975e-09	-0.009238557	-0.052276578	-0.04769732	1.7189474e-07	14.2848015
1.9799999999999977e-09	-0.008901876	-0.05457981	-0.046713512	1.7202068e-07	12.592697
1.989999999999998e-09	-0.008364784	-0.056970768	-0.04585972	1.7212996e-07	10.928631
1.999999999999998e-09	-0.0075863875	-0.05942031	-0.045124687	1.7222403e-07	9.408236
2.0099999999999982e-09	-0.006527339	-0.061881226	-0.044485237	1.7230589e-07	8.185005
2.0199999999999984e-09	-0.0051581133	-0.06428607	-0.04390435	1.7238024e-07	7.435417
2.0299999999999986e-09	-0.0034696541	-0.066549726	-0.043331955	1.7245351e-07	7.3266983
2.0399999999999987e-09	-0.0014831289	-0.06857893	-0.04270902	1.7253325e-07	7.973528
2.049999999999999e-09	0.0007461535	-0.07028813	-0.041974694	1.7262724e-07	9.399319
2.059999999999999e-09	0.0031346218	-0.071617156	-0.04107432	1.7274249e-07	11.52482
2.0699999999999993e-09	0.005585736	-0.0725434	-0.039965734	1.7288438e-07	14.189911
2.0799999999999994e-09	0.008008933	-0.07308287	-0.03862229	1.7305635e-07	17.196035
2.0899999999999996e-09	0.01033429	-0.073280506	-0.037032627	1.7325982e-07	20.347738
2.0999999999999998e-09	0.012518061	-0.07319519	-0.035198078	1.7349464e-07	23.482227
2.11e-09	0.014539931	-0.07288689	-0.03312927	1.7375946e-07	26.480722
2.12e-09	0.016396351	-0.07240894	-0.030842677	1.7405213e-07	29.268383
2.1300000000000003e-09	0.018094033	-0.07180548	-0.028357783	1.743702e-07	31.80666
2.1400000000000005e-09	0.019645303	-0.07111157	-0.025695015	1.7471103e-07	34.08346
2.1500000000000006e-09	0.021065084	-0.070354365	-0.02287434	1.7507209e-07	36.104584
2.160000000000001e-09	0.02236895	-0.0695543	-0.01991447	1.7545095e-07	37.88638
2.170000000000001e-09	0.023571983	-0.06872663	-0.016832402	1.7584546e-07	39.450455
2.180000000000001e-09	0.0246882	-0.06788276	-0.013643231	1.7625366e-07	40.821373
2.1900000000000013e-09	0.025730403	-0.06703145	-0.010360144	1.7667391e-07	42.02353
2.2000000000000015e-09	0.02671018	-0.066179864	-0.0069944756	1.7710471e-07	43.080555
2.2100000000000017e-09	0.027637808	-0.06533423	-0.0035558422	1.7754485e-07	44.014503
2.220000000000002e-09	0.02852214	-0.06450036	-5.2317162e-05	1.779933e-07	44.845123
2.230000000000002e-09	0.029370513	-0.0636838	0.0035093902	1.784492e-07	45.589855
2.240000000000002e-09	0.030188667	-0.06288985	0.0071237674	1.7891185e-07	46.26403
2.2500000000000024e-09	0.030980911	-0.062123567	0.010786301	1.7938065e-07	46.880436
2.2600000000000025e-09	0.031750258	-0.061389565	0.014493347	1.7985515e-07	47.450184
2.2700000000000027e-09	0.032498788	-0.060691856	0.018241994	1.8033498e-07	47.98268
2.280000000000003e-09	0.03322797	-0.060033657	0.022029966	1.8081984e-07	48.486042
2.290000000000003e-09	0.033938937	-0.059417196	0.025855545	1.8130952e-07	48.967407
2.3000000000000032e-09	0.034632687	-0.05884356	0.029717512	1.8180384e-07	49.43323
2.3100000000000034e-09	0.03531019	-0.058312688	0.033615068	1.8230273e-07	49.888657
2.3200000000000036e-09	0.035972342	-0.057823446	0.037547793	1.8280612e-07	50.33889
2.3300000000000037e-09	0.036619984	-0.057373792	0.04151556	1.8331399e-07	50.787403
2.340000000000004e-09	0.037253793	-0.05696103	0.045518473	1.8382636e-07	51.237297
2.350000000000004e-09	0.037874255	-0.056582026	0.04955682	1.8434328e-07	51.690865
2.3600000000000043e-09	0.03848168	-0.056233436	0.053630956	1.8486476e-07	52.14896
2.3700000000000044e-09	0.03907615	-0.055911962	0.057741303	1.8539089e-07	52.61245
2.3800000000000046e-09	0.039657593	-0.055614464	0.061888233	1.8592169e-07	53.080654
2.3900000000000048e-09	0.040225826	-0.055338062	0.0660721	1.8645723e-07	53.553486
2.400000000000005e-09	0.04078059	-0.055080242	0.07029313	1.8699753e-07	54.02918
2.410000000000005e-09	0.04132162	-0.05483886	0.07455149	1.875426e-07	54.507065
2.4200000000000053e-09	0.041848663	-0.054612093	0.07884724	1.8809244e-07	54.985523
2.4300000000000055e-09	0.042361543	-0.054398507	0.083180316	1.8864708e-07	55.46341
2.4400000000000056e-09	0.042860128	-0.054196987	0.08755061	1.8920647e-07	55.93977
2.450000000000006e-09	0.043344393	-0.054006703	0.0919579	1.8977062e-07	56.41327
2.460000000000006e-09	0.043814372	-0.053827114	0.09640194	1.9033945e-07	56.883717
2.470000000000006e-09	0.04427016	-0.053657927	0.100882515	1.9091296e-07	57.3514
2.4800000000000063e-09	0.044711888	-0.053499073	0.10539932	1.9149111e-07	57.815075
2.4900000000000065e-09	0.045139678	-0.053350665	0.109952144	1.9207387e-07	58.27627
2.5000000000000067e-09	0.04555364	-0.053213015	0.11454076	1.9266122e-07	58.734226
2.510000000000007e-09	0.04595381	-0.053086527	0.119165	1.9325311e-07	59.190273
2.520000000000007e-09	0.046340164	-0.05297172	0.12382472	1.9384956e-07	59.644413
2.530000000000007e-09	0.046712592	-0.052869145	0.12851983	1.9445054e-07	60.09741
2.5400000000000074e-09	0.04707089	-0.052779373	0.13325019	1.9505602e-07	60.54859
2.5500000000000075e-09	0.04741478	-0.052702926	0.13801576	1.9566602e-07	60.999107
2.5600000000000077e-09	0.047743868	-0.052640285	0.14281644	1.9628051e-07	61.44886
2.570000000000008e-09	0.048057728	-0.052591853	0.14765213	1.9689948e-07	61.896896
2.580000000000008e-09	0.048355844	-0.0525579	0.15252267	1.9752291e-07	62.342834
2.5900000000000082e-09	0.048637684	-0.052538604	0.1574278	1.9815076e-07	62.78572
2.6000000000000084e-09	0.048902687	-0.05253401	0.1623673	1.9878301e-07	63.225555
2.6100000000000086e-09	0.049150273	-0.052544035	0.16734074	1.9941962e-07	63.66005
2.6200000000000087e-09	0.049379908	-0.05256849	0.1723476	2.000605e-07	64.08787
2.630000000000009e-09	0.04959105	-0.052607063	0.17738727	2.0070557e-07	64.507675
2.640000000000009e-09	0.049783234	-0.052659363	0.18245901	2.0135475e-07	64.91833
2.6500000000000093e-09	0.04995604	-0.05272487	0.18756197	2.0200794e-07	65.31792
2.6600000000000094e-09	0.050109114	-0.05280304	0.19269504	2.0266496e-07	65.7032
2.6700000000000096e-09	0.050242186	-0.052893214	0.19785713	2.0332571e-07	66.07475
2.6800000000000098e-09	0.05035508	-0.052994695	0.20304687	2.0399e-07	66.42876
2.69000000000001e-09	0.0504477	-0.05310675	0.2082629	2.0465765e-07	66.76521
2.70000000000001e-09	0.05052004	-0.053228587	0.21350361	2.0532846e-07	67.08107
2.7100000000000103e-09	0.050572213	-0.05335942	0.21876739	2.0600223e-07	67.37633
2.7200000000000105e-09	0.050604396	-0.053498417	0.22405243	2.066787e-07	67.648506
2.7300000000000106e-09	0.050616857	-0.05364477	0.22935688	2.0735769e-07	67.89703
2.740000000000011e-09	0.050609972	-0.053797636	0.23467885	2.080389e-07	68.12115
2.750000000000011e-09	0.050584164	-0.053956244	0.24001625	2.0872208e-07	68.31875
2.760000000000011e-09	0.05053994	-0.05411979	0.24536715	2.0940699e-07	68.491554
2.7700000000000113e-09	0.050477862	-0.054287527	0.2507294	2.1009336e-07	68.636894
2.7800000000000115e-09	0.050398555	-0.054458745	0.25610098	2.1078093e-07	68.75572
2.7900000000000117e-09	0.050302655	-0.05463278	0.26147974	2.1146941e-07	68.84842
2.800000000000012e-09	0.05019086	-0.054808978	0.26686358	2.1215854e-07	68.91327
2.810000000000012e-09	0.05006388	-0.054986782	0.27225053	2.1284806e-07	68.95294
2.820000000000012e-09	0.04992245	-0.05516568	0.27763855	2.1353773e-07	68.966675
2.8300000000000124e-09	0.04976732	-0.055345174	0.28302562	2.1422728e-07	68.95447
2.8400000000000125e-09	0.049599245	-0.055524852	0.2884099	2.1491647e-07	68.91823
2.8500000000000127e-09	0.04941897	-0.05570436	0.2937894	2.1560504e-07	68.857956
2.860000000000013e-09	0.04922726	-0.05588339	0.2991625	2.162928e-07	68.77594
2.870000000000013e-09	0.04902485	-0.056061685	0.3045275	2.1697952e-07	68.6718
2.8800000000000132e-09	0.048812494	-0.056239042	0.30988264	2.1766498e-07	68.54591
2.8900000000000134e-09	0.048590917	-0.056415327	0.31522655	2.18349e-07	68.4021
2.9000000000000136e-09	0.048360825	-0.056590453	0.32055783	2.190314e-07	68.24036
2.9100000000000137e-09	0.04812292	-0.056764368	0.32587504	2.19712e-07	68.0603
2.920000000000014e-09	0.04787788	-0.056937095	0.33117712	2.2039067e-07	67.866516
2.930000000000014e-09	0.04762635	-0.057108674	0.33646286	2.2106724e-07	67.65747
2.9400000000000142e-09	0.04736895	-0.05727922	0.34173128	2.217416e-07	67.43584
2.9500000000000144e-09	0.04710627	-0.05744886	0.34698147	2.2241363e-07	67.20276
2.9600000000000146e-09	0.04683885	-0.057617757	0.35221267	2.2308322e-07	66.959
2.9700000000000148e-09	0.046567205	-0.057786133	0.3574242	2.2375029e-07	66.70761
2.980000000000015e-09	0.046291802	-0.05795419	0.36261538	2.2441476e-07	66.44707
2.990000000000015e-09	0.046013072	-0.058122154	0.3677858	2.2507659e-07	66.181564
3.0000000000000153e-09	0.045731366	-0.058290277	0.37293494	2.2573568e-07	65.909195
3.0100000000000155e-09	0.045447018	-0.058458827	0.37806252	2.26392e-07	65.63225
3.0200000000000156e-09	0.045160286	-0.058628026	0.38316822	2.2704553e-07	65.35339
3.030000000000016e-09	0.044871394	-0.05879813	0.38825175	2.2769622e-07	65.0692
3.040000000000016e-09	0.044580527	-0.058969352	0.39331296	2.2834406e-07	64.78348
3.050000000000016e-09	0.044287797	-0.059141926	0.3983517	2.2898902e-07	64.49585
3.0600000000000163e-09	0.04399327	-0.05931601	0.40336797	2.296311e-07	64.20822
